Card Name,Elixir,Cost Category,Role,Attack Type,Target Type,Damage Type,Special Abilities,Rarity,Speed,Hit Speed,Deploy Time,Range Classification,Archetype Affinity,Defensive Value,Offensive Value,Crowd Control,Splash Radius,Spawner,Troop Count,Lifetime,Counter Type,Meta Relevance,Skill Floor,Synergy Tags,Vulnerability Tags
Knight,3,Low,Support,Ground,Ground,Single-target,"Moderate HP and damage, cost-effective mini-tank",Common,2,2,1,1,cycle,2,2,0,0,No,1,Standard,Soft,2,1,"mini tank for cycle decks, pairs with princess, good with log bait","weak against air units, countered by mini P.E.K.K.A, vulnerable to swarms with support"
Archers,3,Low,Support,Air & Ground,Air & Ground,Single-target,"Long-range attack, targets air and ground",Common,2,2,1,3,"cycle, control",2,1,0,0,No,2,Standard,Soft,2,1,"pairs with tanks, good in X-bow decks, works with defensive buildings","vulnerable to spells, weak against splash units, countered by fireball"
Goblins,2,Low,Swarm,Ground,Ground,Multiple,"Fast movement, high DPS for cost",Common,3,3,1,1,"cycle, bait",1,2,0,0,No,3,Standard,Soft,1,1,"works in bait decks, pairs with miner, good for quick damage","vulnerable to zap, weak against splash damage, countered by log"
Giant,5,Medium,"Win Condition, Tank",Ground,Ground,Single-target,"High HP, targets buildings only",Common,1,1,3,1,beatdown,3,3,0,0,No,1,Standard,Hard,3,2,"pairs with witch, works with splash units, good with support troops","countered by inferno tower, weak against P.E.K.K.A, vulnerable to building distractions"
P.E.K.K.A,7,High,Tank,Ground,Ground,Single-target,"Highest HP single unit, massive damage",Epic,1,1,3,1,"beatdown, counter",3,3,0,0,No,1,Standard,Hard,3,2,"pairs with electro wizard, works with splash units, good with battle ram","weak against swarms, countered by inferno tower, vulnerable to air units"
Minions,3,Low,Swarm,Air & Ground,Air & Ground,Multiple,"Flying swarm, moderate DPS",Common,3,2,1,2,"cycle, support decks",1,2,0,0,No,1,Standard,Soft,3,1,"pairs with hog rider, works in bait decks, good with miner","vulnerable to arrows, weak against wizard, countered by baby dragon"
Balloon,5,Medium,Win Condition,Air & Ground,Ground,Single-target,"High building damage, death bomb",Legendary,1,1,2,1,"win condtion, beatdown",1,3,0,2,No,1,Standard,Hard,3,2,"pairs with lumberjack, works with freeze, good with miner","countered by buildings, weak against air targeting units, vulnerable to rocket"
Witch,5,Medium,Support,Air & Ground,Air & Ground,Single-target,"Spawns skeletons periodically, splash damage",Epic,2,2,2,3,"support, swarm synergy",2,3,2,2,Yes,1,Standard,Soft,3,2,"pairs with giant, works with golem, good with tornado","vulnerable to fireball+zap, weak against valkyrie, countered by executioner"
Barbarians,5,Medium,Swarm,Ground,Ground,Multiple,"Medium HP swarm, high combined DPS",Common,2,2,2,1,"beatdown, cyclw",2,2,0,0,No,1,Standard,Soft,2,1,"good with rage, pairs with air units, good against single units","vulnerable to splash damage, weak against spells, vulnerable to air units"
Golem,8,High,"Win Condition, Tank",Ground,Ground,Single-target,"Splits into golemites on death, death damage",Epic,1,1,3,1,beatdown,3,3,1,1,Yes,1,Standard,Hard,3,2,"pairs with night witch, works with baby dragon, good with lightning","countered by inferno tower, weak against P.E.K.K.A, vulnerable to building + swarm"
Skeletons,1,Low,Swarm,Ground,Ground,Multiple,"Cheapest card, distraction value",Rare,1,2,1,3,"Cycle, Bait",1,1,1,0,No,Single,Standard,Even Match,1,2,"works in bait decks, works in swarm decks, pairs with air units","vulnerable to air units, weak against area spells, vulnerable to splash damage"
Valkyrie,4,Medium,Support,Ground,Ground,Single-target,"360-degree spin attack, area damage",Epic,2,2,1,3,"Bait, Bridge Spam",1,3,0,3,No,Single,Standard,Soft Counter,3,3,"pairs with hog rider, works in cycle decks, good against swarms","weak against air units, countered by mini P.E.K.K.A, vulnerable to inferno tower"
Skeleton Army,3,Low,Swarm,Ground,Ground,Multiple,"High number swarm, overwhelming DPS",Rare,1,2,1,4,Cycle,1,3,1,0,No,Horde,Standard,Soft Counter,3,2,"good with spells, pairs with tanks, works in bait decks","weak against area spells, vulnerable to splash damage, weak against spells"
Bomber,2,Low,Support,Ground,Ground,Single-target,"Area damage, high splash radius",Legendary,3,1.5,1,2,Graveyard,2,1,3,0,No,Single,Standard,Hard Counter,3,1,"works with swarm distractions, pairs with splash units, pairs with tanks","weak against air units, countered by distraction units, weak against buildings"
Musketeer,4,Medium,Support,Air & Ground,Air & Ground,Single-target,"Long range, high single-target damage",Rare,3,3,1,3,"Control, Beatdown",2,3,0,3,No,Single,Standard,Soft Counter,2,2,"good against ground-only defenses, pairs with tanks, good with spells","countered by distraction units, vulnerable to splash damage, weak against swarms"
Baby Dragon,4,Medium,Support,Air & Ground,Air & Ground,Area,"Flying, splash damage",Epic,2,2.5,1,3,"Graveyard, Siege",1,1,2,0,No,Single,Standard,Hard Counter,1,2,"works in cycle decks, good against ground-only defenses, pairs with ground tanks","weak against air splash, less effective against single units, vulnerable to air targeting units"
Prince,5,Medium,Support,Ground,Ground,Single-target,Charging attack with double damage,Champion,1,3,1,1,"Graveyard, Cycle, Control",1,1,1,0,No,Single,Standard,Even Match,1,3,"pairs with air units, good with spells, works with ground support","vulnerable to air units, weak against swarms, countered by distraction units"
Wizard,5,Medium,Support,Air & Ground,Air & Ground,Area,"Area damage, targets air and ground",Common,2,1.5,1,4,"Bait, Siege",2,3,2,1,No,Single,Standard,Even Match,3,3,"pairs with giant, works with P.E.K.K.A, good against swarms","vulnerable to fireball, weak against mini tanks, countered by lightning"
Mini P.E.K.K.A,4,Medium,Support,Ground,Ground,Single-target,"High damage, moderate HP",Rare,3,2.5,1,4,"Beatdown, Control",1,3,2,3,No,Single,Standard,Even Match,2,2,"good with spells, pairs with tanks, works with ground support","weak against swarms, countered by distraction units, weak against air units"
Spear Goblins,2,Low,Swarm,Ground,Ground,Multiple,"Ranged attack, targets air and ground",Legendary,2,1.5,1,2,"Bridge Spam, Control",3,3,1,2,No,Single,Standard,Even Match,2,2,"works with ground support, good with rage, pairs with tanks","weak against spells, vulnerable to splash damage, countered by area damage"
Giant Skeleton,6,High,"Win Condition, Tank",Ground,Ground,Single-target,Death bomb with massive damage,Champion,3,3,1,3,"Cycle, Control, Siege",2,1,2,1,No,Single,Standard,Even Match,1,1,"good against tanks, pairs with support units, good with spells","vulnerable to air units, countered by buildings, weak against swarms"
Hog Rider,4,Medium,Win Condition,Ground,Ground,Single-target,"Fast movement, targets buildings only",Common,1,2.5,1,3,Bait,2,2,1,0,No,Single,Standard,Hard Counter,2,2,"pairs with ice golem, works in cycle decks, good with earthquake","countered by buildings, weak against tornado, vulnerable to mini P.E.K.K.A"
Minion Horde,5,Medium,Swarm,Air & Ground,Air & Ground,Multiple,"Flying swarm, high combined DPS",Rare,1,3,1,3,Bait,2,1,3,0,No,Horde,Standard,Hard Counter,1,2,"good against ground-only defenses, good with rage, pairs with tanks","vulnerable to air units, countered by area damage, weak against spells"
Ice Wizard,3,Low,Support,Air & Ground,Air & Ground,Area,Slows enemies with each attack,Champion,1,1,1,1,"Siege, Bait",1,3,0,1,No,Single,Standard,Soft Counter,2,2,"good with pushes, good with support units, pairs with tanks","weak against buildings, weak against spread out units, vulnerable to air targeting units"
Royal Giant,6,High,"Win Condition, Tank",Ground,Ground,Single-target,"Long range attack, targets buildings",Rare,3,2.5,1,4,"Beatdown, Bait, Siege",1,3,2,1,No,Single,Standard,Soft Counter,2,1,"pairs with air units, works with swarm distractions, good against tanks","weak against heavy defense, vulnerable to air units, vulnerable to distraction"
Guards,3,Low,Swarm,Ground,Ground,Multiple,"Shield protection, survives spells",Champion,2,2,1,2,"Beatdown, Control",1,2,2,2,No,Single,Standard,Soft Counter,2,1,"works in swarm decks, good against single units, pairs with tanks","vulnerable to splash damage, weak against buildings, vulnerable to air units"
Princess,3,Low,Support,Air & Ground,Air & Ground,Single-target,"Longest range, area damage",Rare,1,3,1,3,"Bridge Spam, Cycle, Bait",1,1,3,1,No,Single,Standard,Hard Counter,1,3,"good against tanks, good with spells, pairs with tanks","weak against air units, weak against air splash, countered by distraction units"
